i,cpu_mj,gpu_mj,ane_mj,dram_mj,time_s
0,303.23390333758607,0.0,0.0,75.59622229023033,0.08612237500346964
1,299.87754304590914,0.0,0.0,74.75948155674698,0.08516912499908358
2,303.496507488735,0.0,0.0,75.66168951393483,0.08619695800007321
3,280.98976423022,0.0,0.0,70.05075766339677,0.07980474999931175
4,302.6632146728885,0.0,0.0,75.453949586947,0.08596029199543409
5,302.2430473239825,0.0,0.0,75.3492018527478,0.08584095900005195
6,288.1644636376654,0.0,0.0,71.83941046673124,0.08184245800657663
7,299.15970621388135,0.0,0.0,74.58052481040428,0.08496524999645771
8,303.53919918635705,0.0,0.0,75.67233255558638,0.08620908299781149
9,304.1503789285395,0.0,0.0,75.82469968584712,0.08638266599882627
10,302.7150010544735,0.0,0.0,75.46685993361608,0.08597500000178115
11,304.3796818047821,0.0,0.0,75.8818649005986,0.08644779099995503
12,291.44937998960955,0.0,0.0,72.6583402236388,0.0827754170022672
13,299.5502411494769,0.0,0.0,74.6778851829696,0.08507616700080689
14,299.0150508701026,0.0,0.0,74.54446222834005,0.08492416599619901
15,301.69890677153836,0.0,0.0,75.21354759474123,0.08568641600140836
16,293.7211350318159,0.0,0.0,73.22468883198815,0.08342062500014435
17,301.99774870612936,0.0,0.0,75.28804889907536,0.08577129100012826
18,290.7437186585,0.0,0.0,72.4824188300841,0.08257500000036089
19,300.40744832723414,0.0,0.0,74.89158696118525,0.08531962499546353
20,302.49420835289175,0.0,0.0,75.41181630569348,0.08591229200101225
21,302.62287146478,0.0,0.0,75.4438920238101,0.08594883399928221
22,297.91387246601477,0.0,0.0,74.26993841520314,0.0846114169980865
23,300.38544230519113,0.0,0.0,74.88610085915057,0.08531337499880465
24,302.0932584124877,0.0,0.0,75.31185947207949,0.08579841699975077
25,298.48529699349257,0.0,0.0,74.4123945691023,0.08477370900072856
26,301.0101214300942,0.0,0.0,75.04183338597713,0.0854907920002006
27,298.8282953574442,0.0,0.0,74.49790407275962,0.08487112500006333
28,301.1461152201156,0.0,0.0,75.07573664239862,0.08552941600646591
