i,cpu_mj,gpu_mj,ane_mj,dram_mj,time_s,size,profiler,phase,variant
0,1696.056708219553,2.13210562208661,0.0,468.996608558364,0.5107068340003025,100,mac,phase-19,with
1,1698.1034097991303,2.1346785218743367,0.0,469.5625661085455,0.5113231249997625,100,mac,phase-19,with
2,1692.418414711478,2.1275319389038634,0.0,467.9905411857592,0.5096112920000451,100,mac,phase-19,with
3,1690.6943979681755,2.1253646848414536,0.0,467.5138130187185,0.50909216600121,100,mac,phase-19,with
4,1701.3062373532607,2.138704782671892,0.0,470.4482176633577,0.5122875419983757,100,mac,phase-19,with
5,1695.8159324977382,2.1318029439581867,0.0,468.9300288288024,0.5106343330007803,100,mac,phase-19,with
6,1695.2462417456106,2.131086788154212,0.0,468.7724969317968,0.5104627910004638,100,mac,phase-19,with
7,1698.5780369658344,2.1352751736523228,0.0,469.6938108543344,0.5114660420003929,100,mac,phase-19,with
8,1698.1573760274025,2.1347463625887086,0.0,469.577488945685,0.5113393749998068,100,mac,phase-19,with
9,1694.4814456454424,2.130125366253036,0.0,468.5610141579725,0.5102325000007113,100,mac,phase-19,with
10,1706.3120882158423,2.144997616346446,0.0,471.8324444207073,0.5137948749979842,100,mac,phase-19,with
11,1694.0333864648817,2.1295621129766147,0.0,468.4371160388247,0.5100975829991512,100,mac,phase-19,with
12,1697.0918900604795,2.1334069447441752,0.0,469.2828588766953,0.5110185419980553,100,mac,phase-19,with
13,1697.1154127034304,2.1334365149578587,0.0,469.2893633996365,0.5110256250009115,100,mac,phase-19,with
14,1697.2283266475597,2.133578458593306,0.0,469.3205865636963,0.5110596249978698,100,mac,phase-19,with
15,1692.1726608124698,2.127223002730217,0.0,467.9225848818124,0.5095372920004593,100,mac,phase-19,with
16,1695.755878881392,2.131727450814344,0.0,468.9134226963178,0.5106162500014761,100,mac,phase-19,with
17,1692.8812789075514,2.128113803501862,0.0,468.11853321405016,0.5097506670026632,100,mac,phase-19,with
18,1690.365619098878,2.1249513783333307,0.0,467.42289850275984,0.5089931660004368,100,mac,phase-19,with
19,1705.9150894038498,2.144498550840612,0.0,471.7226656052208,0.5136753330007195,100,mac,phase-19,with
