i,cpu_mj,gpu_mj,ane_mj,dram_mj,time_s
0,5280.146632019839,4.743466790750807,114.64491567504767,752.2737473782265,0.6850735419975535
1,5274.013779635982,4.737957288147416,114.5117564290277,751.3999868245057,0.6842778339996585
2,5295.193434520416,4.756984219894848,114.97161861041634,754.417497408676,0.6870257920018048
3,5269.918567599515,4.734278317912334,114.42283934559953,750.8165332351111,0.6837465000025986
4,5242.171554738373,4.709351541589266,113.82038373756592,746.8633571590865,0.6801464589989337
5,5263.781853767582,4.728765346342646,114.28959625808423,749.9422225326506,0.6829502910004521
6,5238.2465455697775,4.705825474617618,113.73516217526526,746.3041527351321,0.6796372080025321
7,5262.373654944431,4.727500278378077,114.25902081263071,749.7415934441852,0.6827675839995209
8,5286.2213551067625,4.748924072382171,114.77681279165924,753.139226127088,0.6858617079997202
9,5318.148685293727,4.7776062740355885,115.47003332739534,757.6879809245172,0.6900041250009963
10,5299.006038748264,4.76040930688607,115.05439958614781,754.9606872610865,0.6875204589996429
11,5278.689930447888,4.742158149909533,114.61328711612335,752.0662079997371,0.6848845419990539
12,5264.9964191743065,4.729856462001642,114.31596744781433,750.1152642554716,0.6831078750001325
13,5280.20732793269,4.743521317465122,114.64623353197393,752.2823948543278,0.68508141699931
14,5175.084273188565,4.649083084235549,112.36375454293243,737.3052891336941,0.6714422080003715
15,5301.849427752589,4.76296369074227,115.11613652554557,755.3657909543374,0.6878893749999406
16,5233.881581656403,4.70190417037952,113.64038811790502,745.682267020752,0.6790708750013437
17,5266.631354747574,4.7313252209466645,114.35146590344334,750.3481970121048,0.6833200000000943
18,5232.454106576423,4.700621785417813,113.60939413770377,745.4788916028814,0.6788856669991219
19,5268.029287275292,4.732581066093223,114.38181844247846,750.5473634395731,0.6835013749987411
20,5264.38047332908,4.729303121561433,114.30259375492138,750.0275091377708,0.6830279589994461
21,5283.768793744757,4.746720792022038,114.72356167760307,752.7898044812416,0.6855434999997669
22,5270.446525563299,4.734752613654982,114.43430260608379,750.8917525317619,0.6838150000003225
23,5247.368595842966,4.714020349788703,113.93322422869598,747.6037906848,0.6808207499998389
24,5253.691243355732,4.719700356537864,114.07050439181653,748.5045917551598,0.6816410829997039
25,5232.72739613028,4.70086729752445,113.61532792326699,745.5178277482438,0.6789211249997607
26,5287.829962145745,4.750369178853743,114.81173959032428,753.368407801312,0.6860704169994278
27,5286.654257518006,4.749312974121929,114.78621216328493,753.20090265652,0.6859178749982675
28,5335.341363340995,4.793051469603971,115.84332847662554,760.1374584188833,0.6922347920008178
29,5272.745578332742,4.736817988202708,114.48422067261758,751.219303481162,0.6841132910012675
